 Catalogue of Wide-Field Plate Archives (version 5.7 January 2012)																															
WFPDB Instrument Identifier		Original Name of the Instrument	Location of the Archive		Observatory			Marsden's No.	Time Zone	East Longitude	Latitude	Altitude	Clear Aperture		Mirror Diameter	Focal Length	Scale	Type	Field Size	Years of Operation		P/F	Number of Direct Plates		Orig.Plate Number from.. to..	Arch. Type	Number of Sp. Plates	Arch.  Type	Quality	Astronomer in Charge	
			Site	Country	Name	Site	Country		h	o     '  	o     '  	m	m		m	m	"""/mm"		o	from	to		  								
1			2	3	4	5	6	7	8	9	10	11	12		13	14	15	16	17	18	19	20	21		22	23	24	25	26	27	
GUA040E	* 	DWA	Kyiv	Ukraine	Main Astron. Obs.	Kyiv	Ukraine	083	3	30 30.0	50 21.9	211	2x	0.40		2.00	103	Ast	6.5	1981	2005		3657			C				L.Kizyun	
GUA070	* 	AZT2	Kyiv	Ukraine	Main Astron. Obs.	Kyiv	Ukraine	083	3	30 30.0	50 21.9	211			0.70	3.15	66	Rfl	1.0	1960	1973		566			C				L.Kizyun	
HAM021			Hamburg	Germany	Hamburg Obs.	Bergedorf	Germany	029	1	00 41.0	53 28.8	41		0.21		2.06	100	Ast	5.0	1930	1960		4000	:		T			A	D.Groote	
HAM023			Hamburg	Germany	Hamburg Obs.	Bergedorf	Germany	029	1	00 41.0	53 28.8	41		0.23		2.06	100	Ast	5.0	1973	1995		3000	:		T			A	D.Groote	
HAM030A			Hamburg	Germany	Hamburg Obs.	Bergedorf	Germany	029	1	00 41.0	53 28.8	41		0.30		1.50	137	Rfr		1914	1972		3000	:		C			A	D.Groote	
HAM030B	**		Hamburg	Germany	Hamburg Obs.	Bergedorf	Germany	029	1	00 41.0	53 28.8	41		0.30		1.50	137	Rfr		1912	1961		8782			C			A	D.Groote	
HAM034			Hamburg	Germany	Hamburg Obs.	Bergedorf	Germany	029	1	00 41.0	53 28.8	41		0.34		3.40	60	Ast		1911	1957		3200	:		C			A	D.Groote	
HAM036			Hamburg	Germany	Hamburg Obs.	Bergedorf	Germany	029	1	00 41.0	53 28.8	41		0.36	0.44	0.62	330	Sch		1932	1973	F	180			T			A	D.Groote	
HAM060			Hamburg	Germany	Hamburg Obs.	Bergedorf	Germany	029	1	00 41.0	53 28.8	41		0.60		3.00	69	Rfr		1914	1930		500	:		T			A	D.Groote	
HAM080			Hamburg	Germany	Hamburg Obs.	Bergedorf	Germany	029	1	00 41.0	53 28.8	41		0.80	1.20	2.40	86	Sch	5.5	1954	1975		5000	:		TC			A	D.Groote	
HAM100			Hamburg	Germany	Hamburg Obs.	Bergedorf	Germany	029	1	00 41.0	53 28.8	41			1.00	3.00	69	Rfl		1913	1947		5800	:		T			A	D.Groote	
HAR			Bamberg	Germany	Harvard	Cambridge	USA MA	802	-5	–71 07.8	42 22.8	24								1897	1905		115							U.Heber   	
HAR001		Meteor Patrol Cameras (AI)	Cambridge	USA MA	Harvard	Cambridge	USA MA	802	–5	–71 07.8	42 22.8	24		0.01		0.15	1200	Rfr	83.3	1901	1932		30268			T			B	A.Doane	
HAR001		Meteor Patrol Cameras (AI)	Cambridge	USA MA	Harvard	Dona Ana	USA NM		-7					0.01		0.15	1200	Rfr	83.3	1948	1958		2840			T			B	A.Doane	
HAR001		Meteor Patrol Cameras (AI)	Cambridge	USA MA	Harvard	Organ Pass	USA NM		-7					0.01		0.15	1200	Rfr	83.3	1957	1958		202			T			B	A.Doane	
HAR001		Meteor Patrol Cameras (AI)	Cambridge	USA MA	Harvard–Oak Ridge St.	Harvard	USA MA	801	–5	–71 33.5	42 30.2	185		0.01		0.15	1200	Rfr	83.3	1932	1948		11327			T			B	A.Doane	
HAR003		"1/1.5"" Cooke Lenses (AM)"	Cambridge	USA MA	Harvard	Chuquicamata	Chile		–4					0.03		0.32	600	Rfr	41.7	1923	1924		176			T			B	A.Doane	
HAR003		"1/1.5"" Cooke Lenses (AM)"	Cambridge	USA MA	Harvard	San Jose	Peru		–4					0.03		0.32	600	Rfr	41.7	1924	1925		87			T			B	A.Doane	
HAR003		"1/1.5"" Cooke Lenses (AM)"	Cambridge	USA MA	Harvard–Boyden St.	Arequipa	Peru	800	–5	–71 33.0	–16 22.5	2451		0.03		0.32	600	Rfr	41.7	1899	1923		16457			T			B	A.Doane	
HAR003		"1/1.5"" Cooke Lenses (AM)"	Cambridge	USA MA	Harvard–Boyden St.	Bloemfontein	South Africa	074	2	26 24.3	–29 02.3	1387		0.03		0.32	600	Rfr	41.7	1935	1954		11839			T			B	A.Doane	
HAR004A		"1.5"" Cooke Lenses (AC)"	Cambridge	USA MA	Harvard	Cambridge	USA MA	802	–5	–71 07.8	42 22.8	24		0.04		0.33	600	Rfr	41.7	1898	1934		32288			T			B	A.Doane	
HAR004A		"1.5"" Cooke Lenses (AC)"	Cambridge	USA MA	Harvard–Oak Ridge St.	Harvard	USA MA	801	–5	–71 33.5	42 30.2	185		0.04		0.33	600	Rfr	41.7	1934	1957		10244			T			B	A.Doane	
HAR004B		"1.5"" Ross-Xpress (FA)"	Cambridge	USA MA	Harvard	Cambridge	USA MA	802	–5	–71 07.8	42 22.8	24		0.04		0.15	1200	Rfr	83.3	1936	1948		10761			T			B	A.Doane	
HAR004B		"1.5"" Ross-Xpress (FA)"	Cambridge	USA MA	Harvard	Soledad Canyon	USA NM		-7					0.04		0.15	1200	Rfr	83.3	1948	1954		2919			T			B	A.Doane	
HAR004B		"1.5"" Ross-Xpress (FA)"	Cambridge	USA MA	Harvard	Sacramento Pk	USA NM		-7					0.04		0.15	1200	Rfr	83.3	1958	1958		193			T			B	A.Doane	
HAR004C		"1.5"" Ross (short focus) (BI)"	Cambridge	USA MA	Harvard–Boyden St.	Bloemfontein	South Africa	074	2	26 24.3	–29 02.3	1387		0.04		0.15	1200	Rfr	83.3	1941	1952		5660			T			B	A.Doane	
HAR004D		Damon Patrols (DNR)	Cambridge	USA MA	Harvard–Oak Ridge St.	Harvard	USA MA	801	–5	–71 33.5	42 30.2	185		0.04		0.35	580	Rfr	40.3	1961	1981		1148			T			B	A.Doane	
HAR004E		Damon Patrols (DNY)	Cambridge	USA MA	Harvard–Oak Ridge St.	Harvard	USA MA	801	–5	–71 33.5	42 30.2	185		0.04		0.35	580	Rfr	40.3	1962	1982		430			T			B	A.Doane	
HAR004F		Damon Patrols (DNB)	Cambridge	USA MA	Harvard–Oak Ridge St.	Harvard	USA MA	801	–5	–71 33.5	42 30.2	185		0.04		0.35	580	Rfr	40.3	1962			6096			T			B	A.Doane	
HAR004G		Damon Patrols (DSY)	Cambridge	USA MA	Harvard–Boyden St.	Bloemfontein	South Africa	074	2	26 24.3	–29 02.3	1387		0.04		0.35	580	Rfr	40.3	1970	1972		432			T			B	A.Doane	
HAR004H		Damon Patrols (DSR)	Cambridge	USA MA	Harvard	Mt. John	New Zealand	474	12	170 28.0	–43 59.2	1029		0.04		0.35	580	Rfr	40.3	1981	1984		292			T			B	A.Doane	
HAR004H		Damon Patrols (DSR)	Cambridge	USA MA	Harvard–Boyden St.	Bloemfontein	South Africa	074	2	26 24.3	–29 02.3	1387		0.04		0.35	580	Rfr	40.3	1970	1972		432			T			B	A.Doane	
HAR004I		Damon Patrols (DSB)	Cambridge	USA MA	Harvard	Cerro Tololo	Chile	807	–4	–70 48.9	–30 09.9	2215		0.04		0.35	580	Rfr	40.3	1978	1979		192			T			B	A.Doane	
HAR004I		Damon Patrols (DSB)	Cambridge	USA MA	Harvard	Mt. John	New Zealand	474	12	170 28.0	–43 59.2	1029		0.04		0.35	580	Rfr	40.3	1981			2234			T			B	A.Doane	
HAR004I		Damon Patrols (DSB)	Cambridge	USA MA	Harvard–Boyden St.	Bloemfontein	South Africa	074	2	26 24.3	–29 02.3	1387		0.04		0.35	580	Rfr	40.3	1970	1973		464			T			B	A.Doane	
HAR006		"2.5""Cooke Lens (CA)"	Cambridge	USA MA	Harvard	Cambridge	USA MA	802	–2	–71 07.8	42 22.8	24		0.06		0.33	600	Rfr	41.7	1934	1936		1302			T			B	A.Doane	
HAR008A		"3"" Ross-Tessar Lens (AX)"	Cambridge	USA MA	Harvard	Cambridge	USA MA	802	–5	–71 07.8	42 22.8	24		0.08		0.30	700	Rfr	48.6	1922	1924		450			T			B	A.Doane	
HAR008A		"3"" Ross-Tessar Lens (AX)"	Cambridge	USA MA	Harvard–Boyden St.	Arequipa	Peru	800	–5	–71 07.8	–16 22.5	2451		0.08		0.30	700	Rfr	48.6	1924	1926		1551			T			B	A.Doane	
HAR008A		"3"" Ross-Tessar Lens (AX)"	Cambridge	USA MA	Harvard–Boyden St.	Bloemfontein	South Africa	074	2	26 24.3	–29 02.3	1387		0.08		0.30	700	Rfr	48.6	1927	1954		2830			T			B	A.Doane	
HAR008A		"3"" Ross-Tessar Lens"	Sonneberg	Germany	Harvard–Boyden St.	Bloemfontein	South Africa	074	2	26 24.3	–29 02.3	1387		0.08		0.30	700	Cam	38.9	1959	1959		95			T			A	P.Kroll	
HAR008B		"3"" Ross-Fecker (RH)"	Cambridge	USA MA	Harvard	Cambridge	USA MA	802	–5	–71 07.8	42 22.8	24		0.08		0.53	391	Rfr	27.1	1928	1932		4468			T			B	A.Doane	
HAR008B		"3"" Ross-Fecker (RH)"	Cambridge	USA MA	Harvard–Oak Ridge St.	Harvard	USA MA	801	–5	–71 33.5	42 30.2	185		0.08		0.53	391	Rfr	27.1	1932	1963		11709			T			B	A.Doane	
HAR008C	***	"Ross-B 3"""	Bamberg	Germany	Harvard-Boyden St	Bloemfontein	South Africa	074	2	26 24.3	–29 02.3	1387		0.08		0.53	391	Rfr	14.0	1964	1966		467			C			A	U.Heber   	
HAR008C		"3"" Ross-Fecker (RB)"	Cambridge	USA MA	Harvard–Boyden St.	Bloemfontein	South Africa	074	2	26 24.3	–29 02.3	1387		0.08		0.53	390	Rfr	27.1	1928	1952		17030			T			B	A.Doane	
HAR008D		"3"" Ross (BM)"	Cambridge	USA MA	Harvard	Cambridge	USA MA	802	–5	–71 07.8	42 22.8	24		0.08		0.53	390	Rfr	27.1	1934	1941		3222			T			B	A.Doane	
HAR010		"4"" Ross-Lundin (RL)"	Cambridge	USA MA	Harvard–Oak Ridge St.	Harvard	USA MA	801	–5	–71 33.5	42 30.2	185		0.10		0.71	290	Rfr	20.1	1933	1962		5062			T			B	A.Doane	
HAR020A	***	"8"" Bache Doublet (B)"	Cambridge	USA MA	Harvard	Cambridge	USA MA	802	–5	–71 07.8	42 22.8	24		0.20		1.12	179	Rfr	12.4	1885	1888		3186		1-3186	C			A	A.Doane	
HAR020A	***	"8"" Bache Doublet (B)"	Cambridge	USA MA	Harvard	Willows	USA CA		-8					0.20		1.12	179	Rfr	12.4	1888	1889		109		3187-3296	C			A	A.Doane	
HAR020A	***	"8"" Bache Doublet (B)"	Cambridge	USA MA	Harvard	Mt. Harvard	Peru		-5					0.20		1.12	179	Rfr	12.4	1889	1890		2544		3301-5845	C			A	A.Doane	
HAR020A	***	"8"" Bache Doublet (B)"	Cambridge	USA MA	Harvard	Cambridge	USA MA	802	–5	–71 07.8	42 22.8	24		0.20		1.12	179	Rfr	12.4	1906	1907		16		37264-37280	C			A	A.Doane	
HAR020A	***	"8"" Bache Doublet (B)"	Cambridge	USA MA	Harvard	Cambridge	USA MA	802	–5	–71 07.8	42 22.8	24		0.20		1.12	179	Rfr	12.4				86		45182-45268	C			A	A.Doane	
HAR020A	***	"8"" Bache Doublet (B)"	Cambridge	USA MA	Harvard–Boyden St.	Arequipa	Peru	800	2	–71 33.0	–16 22.5	2451		0.20		1.12	179	Rfr	12.4	1891	1905		31417		5846-37263	C			A	A.Doane	
HAR020A	***	"8"" Bache Doublet (B)"	Cambridge	USA MA	Harvard–Boyden St.	Arequipa	Peru	800	–5	–71 33.0	–16 22.5	2451		0.20		1.12	179	Rfr	12.4	1907	1914		7900		37281-45181	C			A	A.Doane	
HAR020A	***	"8"" Bache Doublet (B)"	Cambridge	USA MA	Harvard–Boyden St.	Arequipa	Peru	800	–5	–71 33.0	–16 22.5	2451		0.20		1.12	179	Rfr	12.4	1915	1923		8485		45269-53754	C			A	A.Doane	
HAR020A	***	"8"" Bache Doublet (B)"	Cambridge	USA MA	Harvard–Boyden St.	Bloemfontein	South Africa	074	2	26 24.3	–29 02.3	1387		0.20		1.12	179	Rfr	12.4	1930	1954		23109		53755-76864	C			A	A.Doane	
HAR020A		"8"" Bache Doublet"	Sonneberg	Germany	Harvard–Boyden St.	Bloemfontein	South Africa	074	2	26 24.3	–29 02.3	1387		0.20		1.12	179	Ast	9.9	1959	1959		314			T			A	P.Kroll	
HAR020B		"8"" Draper Doublet (rework by Clark) (I)"	Cambridge	USA MA	Harvard	Cambridge	USA MA	802	–5	–71 07.8	42 22.8	24		0.20		1.27	163	Rfr	11.5	1889	1934		52663			T			B	A.Doane	
HAR020B		"8"" Draper Doublet (rework by Clark) (I)"	Cambridge	USA MA	Harvard	Cambridge	USA MA	802	–5	–71 07.8	42 22.8	24		0.20		1.27	163	Rfr	11.5	1934	1946		6423			T			B	A.Doane	
HAR020B		"8"" Draper Doublet (rework by Clark) (I)"	Cambridge	USA MA	Harvard–Oak Ridge St.	Harvard	USA MA	801	–5	–71 33.5	42 30.2	185		0.20		1.27	163	Rfr	11.5	1934	1934		158			T			B	A.Doane	
HAR020C		"8"" Ross Lundin (IR)"	Cambridge	USA MA	Harvard–Oak Ridge St.	Harvard	USA MA	801	–5	–71 33.5	42 30.2	185		0.20		1.27	162	Rfr	11.5	1934	1976		12798			T			B	A.Doane	
HAR020D		"8"" Harvard Refractor"	Tucson	USA AZ	Steward Obs.	Tucson	USA AZ	692	-7	–110 56.9	32 13.8	792		0.20		1.12	179	Rfr	12.4	1908	1922									T.Fleming	
HAR025	***	" Metcalf 10"" (250/1240/167)"	Bamberg	Germany	Harvard-Boyden St	Bloemfontein	South Africa	074	2	26 24.3	–29 02.3	1387		0.25		1.24	167	Rfr	19.9	1963	1965		2138		47791-49680	C			A	U.Heber   	
HAR025	***	"10"" Metcalf Triplet (MF)"	Cambridge	USA MA	Harvard	Cambridge	USA MA	802	–5	–71 07.8	42 22.8	24		0.25		1.24	167	Rfr	19.9	1915	1918		2513		1-2513	C			A	A.Doane	
HAR025		"10"" Metcalf Triplet (MF)"	Cambridge	USA MA	Harvard	Chuquicamata	Chile		–4					0.25		1.24	167	Rfr	19.9	1923	1924		198		8220-8418	C			A	A.Doane	
HAR025		"10"" Metcalf Triplet (MF)"	Cambridge	USA MA	Harvard	San Jose	Peru		–5					0.25		1.24	167	Rfr	19.9	1925	1925		16		8974-8992	C			A	A.Doane	
HAR025		"10"" Metcalf Triplet (MF)"	Cambridge	USA MA	Harvard	Chuquicamata	Chile		–4					0.25		1.24	167	Rfr	19.9	1925	1926		180		9923-10103	C			A	A.Doane	
HAR025		"10"" Metcalf Triplet (MF)"	Cambridge	USA MA	Harvard–Boyden St.	Arequipa	Peru	800	–5	–71 33.0	–16 22.5	2451		0.25		1.24	167	Rfr	19.9	1918	1923		5705		2514-8219	C			A	A.Doane	
HAR025		"10"" Metcalf Triplet (MF)"	Cambridge	USA MA	Harvard–Boyden St.	Arequipa	Peru	800	–5	–71 33.0	–16 22.5	2451		0.25		1.24	167	Rfr	19.9	1924	1924		558		8419-8973	C			A	A.Doane	
HAR025		"10"" Metcalf Triplet (MF)"	Cambridge	USA MA	Harvard–Boyden St.	Arequipa	Peru	800	–5	–71 33.0	–16 22.5	2451		0.25		1.24	167	Rfr	19.9	1925	1925		929		8993-9922	C			A	A.Doane	
HAR025		"10"" Metcalf Triplet (MF)"	Cambridge	USA MA	Harvard–Boyden St.	Bloemfontein	South Africa	074	2	26 24.3	–29 02.3	1387		0.25		1.24	167	Rfr	19.9	1927	1955		30793		10104-40897	C			A	A.Doane	
HAR025		"10"" Metcalf Triplet"	Sonneberg	Germany	Harvard–Boyden St.	Bloemfontein	South Africa	074	2	26 24.3	–29 02.3	1387		0.25		1.24	167	Ast	9.3	1959	1959		490			T			A	P.Kroll	
HAR030		"12"" Metcalf Doublet (MA)"	Cambridge	USA MA	Harvard	 	USA MA		-5					0.30		2.13	97	Rfr	5.0	1905	1913		1797		1-1797	C			A	A.Doane	
HAR030		"12"" Metcalf Doublet (MA)"	Cambridge	USA MA	Harvard	Taunton	USA MA	803	-5					0.30		2.13	97	Rfr	8.1				288		1798-2086	C			A	A.Doane	
HAR030		"12"" Metcalf Doublet (MA)"	Cambridge	USA MA	Harvard	Cambridge	USA MA	802	–5	–71 07.8	42 22.8	24		0.30		2.13	97	Rfr	8.1	1923	1938		5209		2101-7310	C			A	A.Doane	
HAR030		"12"" Metcalf Doublet (MA)"	Cambridge	USA MA	Harvard–Oak Ridge St.	Harvard	USA MA	801	–5	–71 33.5	42 30.2	185		0.30		2.13	97	Rfr	8.1	1938	1983		4426		7311-11737	C			A	A.Doane	
HAR041	**	"16"" Metcalf Doublet (MC)"	Cambridge	USA MA	Harvard	Cambridge	USA MA	802	–5	–71 07.8	42 22.8	24		0.41		2.11	98	Rfr	6.8	1909	1932		26093		1-26093	C			A	A.Doane	
HAR041	**	"16"" Metcalf Doublet (MC)"	Cambridge	USA MA	Harvard–Oak Ridge St.	Harvard	USA MA	801	–5	–71 33.5	42 30.2	185		0.41		2.11	98	Rfr	6.8	1932	1988		14497		26094-40591	C			A	A.Doane	
HAR061A	**	"24"" Bruce Doublet (A)"	Cambridge	USA MA	Harvard	Cambridge	USA MA	802	–5	–71 07.8	42 22.8	24		0.61		3.43	60	Rfr	7.2	1893	1895		1730		1-1730	C			A	A.Doane	
HAR061A	**	"24"" Bruce Doublet (A)"	Cambridge	USA MA	Harvard–Boyden St.	Arequipa	Peru	800	–5	–71 33.0	–16 22.5	2451		0.61		3.43	60	Rfr	7.2	1896	1926		12379		1731-14110	C			A	A.Doane	
HAR061A	**	"24"" Bruce Doublet (A)"	Cambridge	USA MA	Harvard–Boyden St.	Bloemfontein	South Africa	074	2	26 24.3	–29 02.3	1387		0.61		3.43	60	Rfr	7.2	1929	1950		13393		14111-27504	C			A	A.Doane	
HAR061B		"24"" Clark Reflector (H)"	Cambridge	USA MA	Harvard	Cambridge	USA MA	802	–5	–71 07.8	42 22.8	24		0.61		3.43	60	Rfr	1.6	1906	1932		3934			T			B	A.Doane	
HAR061B		"24"" Clark Reflector (H)"	Cambridge	USA MA	Harvard–Oak Ridge St.	Harvard	USA MA	801	–5	–71 33.5	42 30.2	185		0.61		3.43	60	Rfr	1.6	1932	1953		2709			T			B	A.Doane	
HAR061C		"24/33"" Jewett Schmidt (J)"	Cambridge	USA MA	Harvard–Oak Ridge St.	Harvard	USA MA	801	–5	–71 33.5	42 30.2	185		0.61	0.80	2.13	98	Sch	5.4	1942	1957		4770			T			B	A.Doane	
HAR081		"32/36"" Baker-Schmidt Armagh-Dunsink-Harvard"	Armagh	UK N. Ireland	Boyden St.	Bloemfontein	South Africa	074	2	26 24.3	–29 02.3	1387		0.81	0.91	3.03	68	Sch	4.7	1950	1963		355	:						J.McFarland	
HAR081		"32/36"" Baker-Schmidt Armagh-Dunsink-Harvard"	Brussels	Belgium	Boyden St.	Bloemfontein	South Africa	074	2	26 24.3	–29 02.3	1387		0.81	0.91	3.03	68	Sch	4.7	1964	1969		261	:						T.Pauwels	
HAR081	**	"32/36"" Baker Schmidt (ADH)"	Cambridge	USA MA	Harvard–Boyden St.	Bloemfontein	South Africa	074	2	26 24.3	–29 02.3	1387		0.81	0.91	3.02	68	Sch	4.7	1950	1955		2100			C			B	A.Doane	
HAR081		"32/36"" Baker Schmidt (ADH)"	Cambridge	USA MA	Harvard–Boyden St.	Bloemfontein	South Africa	074	2	26 24.3	–29 02.3	1387		0.81	0.91	3.02	68	Sch	4.7	1956	1963		3898			T			B	A.Doane	
HEI015	 	"6"" Double Astrograph"	Heidelberg	Germany	Landessternwarte	Heidelberg	Germany	024	1	08 43.3	49 23.9	570	2x	0.15		0.80	 	Ast	12.5	1898	1939		7200			C				H.Mandel	
HEI015	 	"6"" Double Astrograph"	Heidelberg	Germany	Max Wolf Obs.	Heidelberg	Germany	 	1	 	 	 	2x	0.15		0.80	 	Ast	12.5	1887	1897		1200			C				H.Mandel	
HEI040	***	Bruce Double Astrograph	Heidelberg	Germany	Landessternwarte	Heidelberg	Germany	024	1	08 43.3	49 23.9	570	2x	0.40		2.03	102	Ast	8.0	1900	1990		10000			C				H.Mandel	
HEI072		Waltz Reflector	Heidelberg	Germany	Landessternwarte	Heidelberg	Germany	024	1	08 43.3	49 23.9	570		0.72		2.80		Rfl	1.8	1906	1942		5200							H.Mandel	
HEL033		CdC Astrograph	Helsingfors	Finland	Helsingfors Obs.	Helsinki	Finland	569 	2	24 57.0	60 09.7	30		0.33	 	3.43	60	Ast	2.0	1892	1909		1008			 				E.Isaksson	
HIS040			Dushanbe	Tajikistan	Dushanbe Inst. Astroph.	Hiss. Obs.	Tajikistan	191	5	68 38.0	38 29.0	600		0.40		2.00	100	Ast	8.0	1967			4730			T			B	V.Satyvoldiev	
IAO061	**	Curtis Schmidt 	Cerro Tololo 	Chile	Inter-American Obs.	Cerro Tololo	Chile	807	–4	–70 48.9	–30 09.9	2215		0.61	0.91	2.14	97	Sch	5.2	1967	1994		34162			C			B	J.Marin	
IAO061		Curtis Schmidt 	Flagstaff	USA AZ	Inter-American Obs.	Cerro Tololo	Chile	807	–4	–70 48.9	–30 09.9	2215		0.61	0.91	2.14	97	Sch	5.2								1000			B.Skiff	
IAO061		Curtis Schmidt	Montarey	USA CA	Inter-American Obs.	Cerro Tololo	Chile	807	–4	–70 48.9	–30 09.9	2215		0.61	0.91	2.14	97	Sch	5.2	1970	1970		600							B.Weaver	
IAO061		Curtis Schmidt	Muncie	USA IN	Inter-American Obs.	Cerro Tololo	Chile	807	–4	–70 48.9	–30 09.9	2215		0.61	0.91	2.14	97	Sch	5.2	1984	1986		28							T.Roberson	
IAO061		Curtis Schmidt 	Rosman	USA NC	Inter-American Obs.	Cerro Tololo	Chile	807	–4	–70 48.9	–30 09.9	2215		0.61	0.91	2.14	97	Sch	5.2	1968	1986		3500				 			T.Barker	
IAO150	**		Cerro Tololo 	Chile	Inter-American Obs.	Cerro Tololo	Chile	807	–4	–70 48.0	–30 10.1	2399			1.50	11.50	18	RCr	1.0	1969	1990		3732			C			B	J.Marin	
IAO400	**		Cerro Tololo 	Chile	Inter-American Obs.	Cerro Tololo	Chile	807	–4	–70 48.0	–30 10.1	2399			4.00	11.50	18	RCr	1.0	1974	1976		4270			C			B	J.Marin	
JAG015			Cracow	Poland	Jagellonian Obs.	Fort Skala	Poland	555	1	19 49.6	50 03.3	314	2x	0.15		0.57	360	Ast	13.0	1968			452			T				M.K.–Winiarska	
JAG035			Cracow	Poland	Jagellonian Obs.	Fort Skala	Poland	555	1	19 49.6	50 03.3	314		0.35	0.37	3.44	60	Men	1.0	1964			4000			T				M.K.–Winiarska	
JEN060			Grossschwabhausen	Germany	Jena Univ. Obs.	Grossschwabhausen	Germany	134	1	11 29.0	50 55.8	356		0.60	0.90	1.80	115	Sch	5.1	1963			1132			T				R.Schielicke	
UNI040			Flagstaff	USA AZ	Union Obs.	Johannesburg	South Africa	078	2	27 52.6	–26 10.9	1806		0.40		2.27	91	Cam	2.0	1950	1950		50							B.Skiff	
KIS105	***		Kiso	Japan	Kiso	Kiso	Japan	381	9	137 37.7	35 47.6	1120		1.05	1.50	3.30	62	Sch	6.0	1977			5333			C	1395	C	A	Y.Nakada	
KIT090			Kitt Peak	USA AZ	National Obs.	Kitt Peak	USA AZ	691	–7	–111 36.9	31 57.2	2084			0.90	6.80	30	Rfl	1.4	1960			4000			TC				B.Schoening	
KIT400	**	Mayall 4m Telescope	Kitt Peak	USA AZ	National Obs.	Kitt Peak	USA AZ	691	–7	–111 36.9	31 57.2	2084			4.00	11.10	19	RCr	1.3	1973	1986		4144			C				B.Schoening	
KLE040			Ceske Budejovice	Czech Republic	Klet	Klet	Czech Rep.	046	1	14 17.3	48 51.8	1070		0.40	0.50	1.03	200	Men	7.0	1968	1986	F	1800			T				J.Ticha	
KLE063			Ceske Budejovice	Czech Republic	Klet	Klet	Czech Rep.	046	1	14 17.3	48 51.8	1070		0.63	0.85	1.87	110	Men	5.0	1976			4500			T				J.Ticha	
KLE102			Ceske Budejovice	Czech Republic	Klet	Klet	Czech Rep.	046	1	14 17.3	48 51.8	1070			1.02	3.96	52	Rfl	1.0	1968	1980		2000			T				J.Ticha	
KOE040		Bruce Astrograph (B)	Sonneberg	Germany	Koenigstuhl	Heidelberg	Germany	024	1	08 43.3	49 23.9	570		0.40		1.95	110	Ast	9.2	1957	1959		1184			T			A	P.Kroll	
KON016			Budapest University	Hungary	Konkoly Obs.	Budapest	Hungary	053	1	18 57.9	47 30.0	466		0.16		2.24		Ast		1936	1957		4000							A.Holl	
KON060	***	60/90 cm Schmidt	Budapest	Hungary	Konkoly Mnt. St.	Piszkesteto	Hungary	561	1	19 53.7	47 55.1	958		0.60	0.90	1.80	115	Sch	5.0	1962	1997		12300			C	800	C	A	A.Holl	
KYI020			Kyiv	Ukraine	Kyiv University Obs.	Kyiv	Ukraine	085	3	30 30.1	50 21.9			0.20		4.30		Ast		1898	2004		2401			T				L.Kazantseva	
LAO010			L'viv	Ukraine	L'viv University Obs.	L'viv	Ukraine	067	3	23 46.8	49 49.9	330		0.10		0.50	412	Ast	19.0	1939	1976		8339	:		TC			B	N.Virun	
LCO102			Carnegie Obs.	USA CA	Las Campanas Obs.	Las Campanas	Chile	304	-4	–70 41.5	–29 00.9	2400			1.02	7.11	29	RCr	3.0	1971			15034							G.Carlson	
LCO254			Carnegie Obs.	USA CA	Las Campanas Obs.	Las Campanas	Chile	304	-4	–70 41.5	–29 00.9	2400			2.54	19.05	11	RCr	2.1	1977										G.Carlson	
LEI010A			Leiden	Netherlands	Leiden 	Leiden	Netherlands	013	1	00 41.0	53 28.8	6		0.10		0.52	397	Rfr	22.0	1924	1954		1700	:		T			A	I.van Houten	
LEI010B			Leiden	Netherlands	Leiden 	Leiden	Netherlands	013	1	00 41.0	53 28.8	6		0.10		0.52	397	Rfr	22.0	1924	1954		1700	:		T			A	I.van Houten	
LEI025A			Leiden	Netherlands	Leiden South.St.	Johannesburg	South Africa	078	2	28 05.1	–26 10.5	1750		0.25		1.13	183	Rfr	10.1	1910	1954		3250	:		T			A	I.van Houten	
LEI025A			Leiden	Netherlands	Leiden South.St.	Hartebeesportdam	South Africa	081	2	27 52.6	–25 46.4	1220		0.25		1.13	183	Rfr	10.1	1954	1965		3250	:		T			A	I.van Houten	
LEI025B			Leiden	Netherlands	Leiden South.St.	Johannesburg	South Africa	078	2	28 05.1	–26 10.5	1750		0.25		2.33	88	Rfr	4.9	1910	1954		3250	:		T			A	I.van Houten	
LEI025B			Leiden	Netherlands	Leiden South.St.	Hartebeesportdam	South Africa	081	2	27 52.6	–25 46.4	1220		0.25		2.33	88	Rfr	4.9	1954	1965		3250	:		T			A	I.van Houten	
LEI033			Leiden	Netherlands	Leiden 	Leiden	Netherlands	013	1	00 41.0	53 28.8	6		0.33		5.25	39	Rfr	1.7	1897			13900	:		T			A	I.van Houten	
LEI040A			Leiden	Netherlands	Leiden South.St.	Johannesburg	South Africa	078	2	28 05.1	–26 10.5	1750		0.40		2.29	90	Rfr	7.5	1938	1957		925	:		T			A	I.van Houten	
LEI040A			Leiden	Netherlands	Leiden South.St.	Hartebeesportdam	South Africa	081	2	27 52.6	–25 46.4	1220		0.40		2.29	90	Rfr	7.5	1957	1978		925	:		T			A	I.van Houten	
LEI040B			Leiden	Netherlands	Leiden South.St.	Johannesburg	South Africa	078	2	28 05.1	–26 10.5	1750		0.40		2.29	90	Rfr	7.5	1938	1957		925	:		T			A	I.van Houten	
